編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
158,D17BD0005,臺南市六甲區七甲段58-11地號,18200,1170,長方形27.2:41.5,乙種工業區,60,210,,素地,2.21
159,D17BF0006,臺南市六甲區二甲段194地號,4000,1618,長方形38.9:41.4,農業區,0,0,,素地,0.76
160,D18BA0002,臺南市官田區隆田段916地號,42400,80.69,長方形4.5:18.0,住宅區,60,180,臺南市官田區隆田里13鄰勝利路81號,透天住家用,0.72
161,D18BB0001,臺南市官田區隆田段605地號、隆田段606地號,48100,123.93,長方形4.6:28.0,商業區,80,260,臺南市官田區隆田里文化街38號,透天住家用,0.63
163,D18BB0003,臺南市官田區隆田段315地號,55700,74.18,長方形4.2:18.0,第二種商業區,80,260,臺南市官田區中山路一段27號,透天住家用,1.1
164,D18BD0004,臺南市官田區二鎮段二鎮小段808地號,22900,1650,長方形30.0:55.0,甲種工業區,60,210,臺南市官田區實踐街1鄰8號,透天統興食品廠股份有限公司,2.16
165,D18BF0005,臺南市官田區嘉南段27-2地號,4600,692,長方形16.0:43.0,農業區,0,0,,素地,0
166,D19BA0002,臺南市大內區石城段477地號、石城段478地號,18800,72.8,長方形5.6:14.0,住宅區,60,200,臺南市大內區石仔瀨122之35號,透天住家用,1.14
167,D19BA0003,臺南市大內區公所段916地號,22000,46.75,長方形3.5:13.5,住宅區,60,200,臺南市大內區內庄98號(未登記),透天住家用,0.97
168,D19BB0001,臺南市大內區公所段646地號,24200,113.79,長方形4.3:27.4,商業區,80,320,臺南市大內區內庄22之4號,透天東昇五金行,1.14
169,D19BD0004,臺南市大內區大內段1480-1地號、大內段1482地號,13500,7483,長方形41.6:147.2,乙種工業區,70,210,臺南市大內區石湖里石子瀨400號,透天燴豐窯業開發股份有限公司,1.59
171,D19BF0005,臺南市大內區石城段13地號,3100,456,長方形11.6:32.7,農業區,0,0,,素地,0
172,D20BA0004,臺南市佳里區佳里段937-7地號、佳里段940-12地號,78700,81,長方形4.6:17.6,「住二」住宅區,60,240,臺南市佳里區忠仁里延平路249號,透天明生電器行,1.56
173,D20BA0005,臺南市佳里區佳里段995-14地號,78700,78,梯形4.2:18.6,「住二」住宅區,60,240,臺南市佳里區中山路204號,透天蘇稔然內科診所,1.96
174,D20BB0003,臺南市佳里區佳里段1634-59地號,103000,69,長方形4.6:15.0,商業區,80,320,臺南市佳里區東寧里光復路264號,透天上雅禮品行,2.1
175,D20BB0006,臺南市佳里區佳里段1053-10地號,104000,134,長方形4.1:32.5,商業區,80,320,臺南市佳里區東寧里中山路378號,透天金百萬銀樓,2.08
176,D20BD0007,臺南市佳里區建南段858地號,27300,100.24,長方形4.6:21.9,「工(乙)八」工業區,70,210,臺南市佳里區成功路178號,透天邱師傅生煎包,0
177,D20BF0008,臺南市佳里區佳東段1075地號,11100,1484.18,長方形20.8:71.2,農業區,0,0,,素地,0
178,D21BA0002,臺南市西港區港南段170地號,36300,88.72,長方形4.4:20.0,住宅區,60,200,臺南市西港區慶安里慶安路95之7號,透天住家用,2.56
179,D21BA0003,臺南市西港區港安段1010地號、港安段1011地號、港安段1012地號,35700,972.73,長方形20.0:48.7,住宅區,60,200,臺南市西港區中山路351號,透天郵局,2.61
180,D21BB0001,臺南市西港區慶安段778地號,53800,88.44,長方形3.5:22.6,商業區,80,320,臺南市西港區西港里中山路350號,透天千日好診所,0
181,D21BD0004,臺南市西港區港安段1306地號,20400,864.9,梯形20.0:43.2,「工(甲)一」甲種工業區,70,210,臺南市西港區中山路495-1號,透天信昌精密股份有限公司,0.15
182,D21BF0005,臺南市西港區州海段1330地號,6400,1550.7,梯形28.6:60.3,農業區,0,0,,素地,0
183,D22BA0001,臺南市七股區七股段693-35地號,23800,70,長方形3.7:18.9,「住一」住宅區,60,180,臺南市七股區玉成里玉成143號,透天元之氣早餐店,4.38
184,D22BF0002,臺南市七股區三合段383-2地號、三合段414-2地號,3400,1577,長方形16.0:98.6,農業區,0,0,,素地,2.75
185,D22EA0004,臺南市七股區三合段193地號、三合段194地號,16200,88.49,長方形30.1:24.8,甲種建築用地,60,240,臺南市七股區大埕里180號(未登記),素地住家用,0.56
186,D22EB0003,臺南市七股區三吉段413地號,13000,88.49,長方形4.8:18.4,乙種建築用地,60,240,臺南市七股區2鄰三股里22號,透天住家用,6.44
187,D23BA0001,臺南市將軍區西華段369地號,24400,106.37,長方形4.5:23.6,住宅區,60,150,臺南市將軍區西華里西華65之37號,透天住家用,0
188,D23BA0002,臺南市將軍區長榮段782地號,24900,87.93,長方形4.8:18.1,住宅區,60,150,長榮里長榮108-2號,透天住家用,0.49
189,D23BB0001,臺南市將軍區西華段109地號,30300,105.63,長方形5.7:18.5,商業區,80,240,臺南市將軍區西華里西華2之5號,透天住家用,0
190,D23BB0003,臺南市將軍區西華段314地號,32100,50.95,長方形3.7:13.4,商業區,80,240,臺南市將軍區3鄰西華44號,透天銘安鑲牙所,0.95
191,D23BD0004,臺南市將軍區忠昌段243地號,13900,813.34,長方形8.4:85.1,乙種工業區,70,210,臺南市將軍區忠興132之38號,透天白花油國際有限公司,1.32
192,D23BF0005,臺南市將軍區西湖段398地號、西湖段399地號,1700,1588.52,長方形21.1:79.1,農業區,0,0,,素地,5.66
193,D24BA0001,臺南市北門區保吉段140地號,7300,89.51,長方形4.5:19.9,住宅區,60,200,臺南市北門區保吉里蚵寮126號,透天住家用,1.69
194,D24BA0002,臺南市北門區保安段474地號,12000,97.41,長方形7.5:12.7,住宅區,60,200,臺南市北門區東壁里蚵寮714號,透天住家用,1.28
195,D24BB0001,臺南市北門區保吉段335地號,12300,94,長方形4.2:22.3,商業區,80,280,臺南市北門區保吉里蚵寮202之1號,透天住家用,1
196,D24BB0003,臺南市北門區鯤江段437地號,13900,79.61,長方形4.7:17.1,商業區,80,280,臺南市北門區蚵寮里蚵寮817之2號,透天住家用,0.66
197,D24EA0004,臺南市北門區溪底寮段二重港小段313-17地號,10800,61,梯形4.3:14.2,甲種建築用地,60,240,臺南市北門區文山里12鄰二重港144號,透天住家用,0
198,D24EB0005,臺南市北門區麗湖段652地號,5300,224.83,梯形12.3:18.3,乙種建築用地,60,240,臺南市北門區玉港里22鄰西埔內72之1號,透天住家用,2.34
